### Armor ###		
		
HD_M_1010	Iron Helmet
BD_M_1010	Scale Armor
AM_M_1010	Iron Gauntlets
LG_M_1010	Leather Trousers
HD_M_1840	Kaiden Helm
BD_M_1840	Kaiden Armor
AM_M_1840	Kaiden Gauntlets
LG_M_1840	Kaiden Trousers
HD_M_1100	Drake Knight Helm
BD_M_1100	Drake Knight Armor
AM_M_1100	Drake Knight Gauntlets
LG_M_1100	Drake Knight Greaves
HD_M_1101	Drake Knight Helm (Altered)
BD_M_1101	Drake Knight Armor (Altered)
HD_M_1120	Scaled Helm
BD_M_1120	Scaled Armor
AM_M_1120	Scaled Gauntlets
LG_M_1120	Scaled Greaves
BD_M_1121	Scaled Armor (Altered)
HD_M_1130	Perfumer Hood
BD_M_1130	Perfumer Robe
AM_M_1130	Perfumer Gloves
LG_M_1130	Perfumer Sarong
BD_M_1131	Perfumer Robe (Altered)
HD_M_1140	Traveler's Hat
BD_M_1140	Perfumer's Traveling Garb
AM_M_1140	Traveler's Gloves
LG_M_1140	Traveler's Slops
BD_M_1141	Perfumer's Traveling Garb (Altered)
HD_M_1160	Alberich's Pointed Hat
BD_M_1160	Alberich's Robe
AM_M_1160	Alberich's Bracers
LG_M_1160	Alberich's Trousers
HD_M_1161	Alberich's Pointed Hat (Altered)
BD_M_1161	Alberich's Robe (Altered)
HD_M_1170	Spellblade's Pointed Hat
BD_M_1170	Spellblade's Traveling Attire
AM_M_1170	Spellblade's Gloves
LG_M_1170	Spellblade's Trousers
BD_M_1171	Spellblade's Traveling Attire (Altered)
HD_M_1180	Bull-Goat Helm
BD_M_1180	Bull-Goat Armor
AM_M_1180	Bull-Goat Gauntlets
LG_M_1180	Bull-Goat Greaves
HD_M_1190	Iron Kasa
BD_M_1190	Ronin's Armor
AM_M_1190	Ronin's Gauntlets
LG_M_1190	Ronin's Greaves
BD_M_1191	Ronin's Armor (Altered)
HD_M_1200	Guilty Hood
BD_M_1200	Cloth Garb
LG_M_1200	Cloth Trousers
HD_M_1600	Black Wolf Mask
BD_M_1600	Blaidd's Armor
AM_M_1600	Blaidd's Gauntlets
LG_M_1600	Blaidd's Greaves
BD_M_1601	Blaidd's Armor (Altered)
HD_M_1610	Black Knife Hood
BD_M_1610	Black Knife Armor
AM_M_1610	Black Knife Gauntlets
LG_M_1610	Black Knife Greaves
BD_M_1611	Black Knife Armor (Altered)
HD_M_1640	Exile Hood
BD_M_1640	Exile Armor
AM_M_1640	Exile Gauntlets
LG_M_1640	Exile Greaves
HD_M_1650	Banished Knight Helm
BD_M_1650	Banished Knight Armor
AM_M_1650	Banished Knight Gauntlets
LG_M_1650	Banished Knight Greaves
HD_M_1651	Banished Knight Helm (Altered)
BD_M_1651	Banished Knight Armor (Altered)
HD_M_1670	Briar Helm
BD_M_1670	Briar Armor
AM_M_1670	Briar Gauntlets
LG_M_1670	Briar Greaves
BD_M_1671	Briar Armor (Altered)
HD_M_1680	Page Hood
BD_M_1680	Page Garb
LG_M_1680	Page Trousers
BD_M_1681	Page Garb (Altered)
HD_M_1690	Night's Cavalry Helm
BD_M_1690	Night's Cavalry Armor
AM_M_1690	Night's Cavalry Gauntlets
LG_M_1690	Night's Cavalry Greaves
HD_M_1691	Night's Cavalry Helm (Altered)
BD_M_1691	Night's Cavalry Armor (Altered)
HD_M_1700	Blue Silver Mail Hood
BD_M_1700	Blue Silver Mail Armor
AM_M_1700	Blue Silver Bracelets
LG_M_1700	Blue Silver Mail Skirt
BD_M_1701	Blue Silver Mail Armor (Altered)
HD_M_1710	Nomadic Merchant's Chapeau
BD_M_1710	Nomadic Merchant's Finery
LG_M_1710	Nomadic Merchant's Trousers
BD_M_1711	Nomadic Merchant's Finery (Altered)
HD_M_1720	Malformed Dragon Helm
BD_M_1720	Malformed Dragon Armor
AM_M_1720	Malformed Dragon Gauntlets
LG_M_1720	Malformed Dragon Greaves
HD_M_1730	Tree Sentinel Helm
BD_M_1730	Tree Sentinel Armor
AM_M_1730	Tree Sentinel Gauntlets
LG_M_1730	Tree Sentinel Greaves
BD_M_1731	Tree Sentinel Armor (Altered)
HD_M_1740	Royal Knight Helm
BD_M_1740	Royal Knight Armor
AM_M_1740	Royal Knight Gauntlets
LG_M_1740	Royal Knight Greaves
BD_M_1741	Royal Knight Armor (Altered)
HD_M_1750	Nox Monk Hood
BD_M_1750	Nox Monk Armor
AM_M_1750	Nox Monk Bracelets
LG_M_1750	Nox Monk Greaves
HD_M_1751	Nox Monk Hood (Altered)
BD_M_1751	Nox Monk Armor (Altered)
HD_M_1755	Nox Swordstress Crown
BD_M_1755	Nox Swordstress Armor
HD_M_2630	Night Maiden Twin Crown
BD_M_2630	Night Maiden Armor
HD_M_1756	Nox Swordstress Crown (Altered)
BD_M_1756	Nox Swordstress Armor (Altered)
HD_M_1760	Great Horned Headband
BD_M_1760	Fur Raiment
LG_M_1760	Fur Leggings
HD_M_1765	Shining Horned Headband
BD_M_1765	Shaman Furs
LG_M_1765	Shaman Leggings
HD_M_1770	Duelist Helm
BD_M_1770	Gravekeeper Cloak
LG_M_1770	Duelist Greaves
BD_M_1771	Gravekeeper Cloak (Altered)
HD_M_1790	Sanguine Noble Hood
BD_M_1790	Sanguine Noble Robe
LG_M_1790	Sanguine Noble Waistcloth
HD_M_1800	Guardian Mask
BD_M_1800	Guardian Garb (Full Bloom)
AM_M_1800	Guardian Bracers
LG_M_1800	Guardian Greaves
BD_M_1801	Guardian Garb
HD_M_1810	Cleanrot Helm
BD_M_1810	Cleanrot Armor
AM_M_1810	Cleanrot Gauntlets
LG_M_1810	Cleanrot Greaves
HD_M_1811	Cleanrot Helm (Altered)
BD_M_1811	Cleanrot Armor (Altered)
HD_M_1820	Fire Monk Hood
BD_M_1820	Fire Monk Armor
AM_M_1820	Fire Monk Gauntlets
LG_M_1820	Fire Monk Greaves
HD_M_1825	Blackflame Monk Hood
BD_M_1825	Blackflame Monk Armor
AM_M_1825	Blackflame Monk Gauntlets
LG_M_1825	Blackflame Monk Greaves
HD_M_1830	Fire Prelate Helm
BD_M_1830	Fire Prelate Armor
AM_M_1830	Fire Prelate Gauntlets
LG_M_1830	Fire Prelate Greaves
BD_M_1831	Fire Prelate Armor (Altered)
HD_M_1860	Aristocrat Headband
BD_M_1860	Aristocrat Garb
LG_M_1860	Aristocrat Boots
BD_M_1861	Aristocrat Garb (Altered)
HD_M_1870	Aristocrat Hat
BD_M_1870	Aristocrat Coat
HD_M_1880	Old Aristocrat Cowl
BD_M_1880	Old Aristocrat Gown
LG_M_1880	Old Aristocrat Shoes
HD_M_1930	Vulgar Militia Helm
BD_M_1930	Vulgar Militia Armor
AM_M_1930	Vulgar Militia Gauntlets
LG_M_1930	Vulgar Militia Greaves
HD_M_1940	Sage Hood
BD_M_1940	Sage Robe
LG_M_1940	Sage Trousers
HD_M_1950	Pumpkin Helm
HD_M_2000	Elden Lord Crown
BD_M_2000	Elden Lord Armor
AM_M_2000	Elden Lord Bracers
LG_M_2000	Elden Lord Greaves
BD_M_2001	Elden Lord Armor (Altered)
HD_M_2010	Radahn's Redmane Helm
BD_M_2010	Radahn's Lion Armor
AM_M_2010	Radahn's Gauntlets
LG_M_2010	Radahn's Greaves
